,年月日,時間 (ULAT),温度,露点温度,湿度,気圧,視程,Wind Dir,風速,突風の速度,Precip,イベント,現在の気象状況
207,2016年5月26日,9:00 PM,21 °C,-5 °C,8%,996 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
208,2016年5月27日,12:00 AM,15 °C,-5 °C,14%,1002 hPa,20 km,WSW,18.0 km/h /,-,-,,Scattered Clouds
209,2016年5月27日,3:00 AM,14 °C,-4 °C,17%,1003 hPa,20 km,WSW,21.6 km/h /,-,-,,Scattered Clouds
210,2016年5月27日,6:00 AM,11 °C,-2 °C,28%,1005 hPa,20 km,West,7.2 km/h /,-,-,,Scattered Clouds
211,2016年5月27日,9:00 AM,12 °C,0 °C,31%,1005 hPa,20 km,WSW,21.6 km/h /,-,-,,Partly Cloudy
212,2016年5月27日,12:00 PM,15 °C,0 °C,23%,1004 hPa,20 km,West,21.6 km/h /,-,-,,Partly Cloudy
213,2016年5月27日,3:00 PM,16 °C,2 °C,27%,1004 hPa,20 km,ENE,28.8 km/h /,-,-,,Mostly Cloudy
214,2016年5月27日,6:00 PM,16 °C,1 °C,24%,1005 hPa,20 km,NE,18.0 km/h /,-,-,,Partly Cloudy
215,2016年5月27日,9:00 PM,14 °C,1 °C,29%,1008 hPa,20 km,NE,25.2 km/h /,-,-,,Mostly Cloudy
216,2016年5月28日,12:00 AM,12 °C,0 °C,33%,1013 hPa,20 km,East,7.2 km/h /,-,-,,Scattered Clouds
217,2016年5月28日,3:00 AM,9 °C,3 °C,56%,1015 hPa,20 km,WNW,3.6 km/h /,-,-,,Mostly Cloudy
218,2016年5月28日,6:00 AM,4 °C,-1 °C,60%,1019 hPa,20 km,SW,7.2 km/h /,-,-,,Scattered Clouds
219,2016年5月28日,9:00 AM,7 °C,-1 °C,47%,1018 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
220,2016年5月28日,12:00 PM,13 °C,-0 °C,27%,1014 hPa,20 km,East,10.8 km/h /,-,-,,Clear
221,2016年5月28日,3:00 PM,16 °C,-2 °C,19%,1010 hPa,20 km,SW,14.4 km/h /,-,-,,Clear
222,2016年5月28日,6:00 PM,16 °C,-1 °C,19%,1008 hPa,20 km,ENE,14.4 km/h /,-,-,,Mostly Cloudy
223,2016年5月28日,9:00 PM,17 °C,0 °C,21%,1007 hPa,20 km,ENE,10.8 km/h /,-,-,,Mostly Cloudy
224,2016年5月29日,12:00 AM,13 °C,-2 °C,23%,1010 hPa,20 km,ESE,14.4 km/h /,-,-,,Partly Cloudy
225,2016年5月29日,3:00 AM,11 °C,-1 °C,32%,1010 hPa,20 km,West,10.8 km/h /,-,-,,Scattered Clouds
226,2016年5月29日,6:00 AM,11 °C,4 °C,54%,1010 hPa,20 km,West,18.0 km/h /,-,-,,Partly Cloudy
227,2016年5月29日,9:00 AM,11 °C,4 °C,51%,1009 hPa,20 km,West,25.2 km/h /,-,-,,Partly Cloudy
228,2016年5月29日,12:00 PM,14 °C,5 °C,40%,1006 hPa,20 km,West,28.8 km/h /,-,-,,Partly Cloudy
229,2016年5月29日,3:00 PM,16 °C,5 °C,35%,1004 hPa,10 km,NNW,28.8 km/h /,-,-,,Mostly Cloudy
230,2016年5月29日,6:00 PM,16 °C,3 °C,28%,1004 hPa,20 km,WSW,7.2 km/h /,-,-,,Mostly Cloudy
231,2016年5月29日,9:00 PM,18 °C,5 °C,30%,1002 hPa,20 km,West,14.4 km/h /,-,-,,Mostly Cloudy
232,2016年5月30日,12:00 AM,13 °C,2 °C,35%,1007 hPa,20 km,SW,3.6 km/h /,-,-,,Partly Cloudy
233,2016年5月30日,3:00 AM,8 °C,1 °C,51%,1011 hPa,20 km,North,7.2 km/h /,-,-,,Scattered Clouds
234,2016年5月30日,6:00 AM,11 °C,0 °C,37%,1010 hPa,20 km,West,25.2 km/h /,-,-,,Scattered Clouds
235,2016年5月30日,9:00 AM,10 °C,2 °C,42%,1011 hPa,20 km,West,3.6 km/h /,-,-,,Mostly Cloudy
236,2016年5月30日,12:00 PM,16 °C,3 °C,30%,1007 hPa,20 km,West,25.2 km/h /,-,-,,Scattered Clouds
237,2016年5月30日,3:00 PM,19 °C,3 °C,23%,1004 hPa,20 km,WNW,21.6 km/h /,-,-,,Mostly Cloudy
238,2016年5月30日,6:00 PM,21 °C,3 °C,20%,1002 hPa,20 km,West,14.4 km/h /,-,-,,Mostly Cloudy
239,2016年5月30日,9:00 PM,20 °C,0 °C,16%,1003 hPa,20 km,WNW,14.4 km/h /,-,-,,Mostly Cloudy
240,2016年6月1日,12:00 AM,16 °C,-0 °C,21%,1008 hPa,20 km,SW,14.4 km/h /,-,-,,Partly Cloudy
241,2016年6月1日,3:00 AM,15 °C,1 °C,26%,1009 hPa,20 km,West,21.6 km/h /,-,-,,
242,2016年6月1日,6:00 AM,12 °C,-0 °C,32%,1011 hPa,20 km,West,14.4 km/h /,-,-,,Scattered Clouds
243,2016年6月1日,9:00 AM,14 °C,3 °C,36%,1010 hPa,20 km,NW,7.2 km/h /,-,-,,Clear
244,2016年6月1日,12:00 PM,18 °C,3 °C,26%,1007 hPa,20 km,West,32.4 km/h /,-,-,,Clear
245,2016年6月1日,3:00 PM,22 °C,4 °C,19%,1002 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
246,2016年6月1日,6:00 PM,24 °C,2 °C,15%,1000 hPa,20 km,WSW,25.2 km/h /,-,-,,Partly Cloudy
247,2016年6月1日,9:00 PM,24 °C,2 °C,15%,hPa,20 km,WNW,32.4 km/h /,-,-,,Mostly Cloudy
248,2016年6月2日,12:00 AM,19 °C,2 °C,20%,1005 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
249,2016年6月2日,3:00 AM,16 °C,3 °C,28%,1007 hPa,20 km,WSW,21.6 km/h /,-,-,,Scattered Clouds
250,2016年6月2日,6:00 AM,15 °C,2 °C,31%,1008 hPa,20 km,West,25.2 km/h /,-,-,,Scattered Clouds
251,2016年6月2日,9:00 AM,16 °C,4 °C,31%,1007 hPa,20 km,WNW,18.0 km/h /,-,-,,Scattered Clouds
252,2016年6月2日,12:00 PM,19 °C,3 °C,23%,1001 hPa,20 km,WNW,21.6 km/h /,-,-,,Scattered Clouds
253,2016年6月2日,3:00 PM,23 °C,2 °C,16%,1000 hPa,20 km,WNW,21.6 km/h /,-,-,,Partly Cloudy
254,2016年6月2日,6:00 PM,23 °C,3 °C,16%,998 hPa,20 km,West,21.6 km/h /,-,-,,Mostly Cloudy
255,2016年6月2日,9:00 PM,20 °C,3 °C,21%,1001 hPa,10 km,WNW,18.0 km/h /,-,-,,Mostly Cloudy
256,2016年6月3日,12:00 AM,16 °C,5 °C,35%,1006 hPa,20 km,WNW,21.6 km/h /,-,-,,Mostly Cloudy
257,2016年6月3日,3:00 AM,13 °C,5 °C,48%,1009 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
258,2016年6月3日,6:00 AM,9 °C,6 °C,69%,1012 hPa,20 km,SSW,7.2 km/h /,-,-,,Scattered Clouds
259,2016年6月3日,9:00 AM,12 °C,5 °C,52%,1011 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
260,2016年6月3日,12:00 PM,15 °C,6 °C,42%,1010 hPa,20 km,WSW,7.2 km/h /,-,-,,Scattered Clouds
261,2016年6月3日,3:00 PM,17 °C,1 °C,24%,1008 hPa,20 km,East,18.0 km/h /,-,-,,Scattered Clouds
262,2016年6月3日,6:00 PM,20 °C,3 °C,22%,1005 hPa,20 km,ENE,18.0 km/h /,-,-,,Scattered Clouds
263,2016年6月3日,9:00 PM,18 °C,2 °C,23%,1006 hPa,20 km,NE,28.8 km/h /,-,-,,Scattered Clouds
264,2016年6月4日,12:00 AM,13 °C,-1 °C,24%,1012 hPa,20 km,SE,10.8 km/h /,-,-,,Scattered Clouds
265,2016年6月4日,3:00 AM,11 °C,-4 °C,24%,1014 hPa,20 km,SSE,10.8 km/h /,-,-,,Scattered Clouds
266,2016年6月4日,6:00 AM,8 °C,-4 °C,29%,1016 hPa,20 km,WNW,3.6 km/h /,-,-,,Scattered Clouds
267,2016年6月4日,9:00 AM,11 °C,-3 °C,26%,1014 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
268,2016年6月4日,12:00 PM,15 °C,-2 °C,18%,1012 hPa,20 km,ENE,7.2 km/h /,-,-,,Mostly Cloudy
269,2016年6月4日,3:00 PM,20 °C,3 °C,20%,1007 hPa,20 km,SW,7.2 km/h /,-,-,,Partly Cloudy
270,2016年6月4日,6:00 PM,21 °C,4 °C,21%,1006 hPa,20 km,East,21.6 km/h /,-,-,,Partly Cloudy
271,2016年6月4日,9:00 PM,20 °C,1 °C,17%,1007 hPa,20 km,ENE,25.2 km/h /,-,-,,Mostly Cloudy
272,2016年6月5日,12:00 AM,15 °C,2 °C,29%,1013 hPa,20 km,ESE,10.8 km/h /,-,-,,Mostly Cloudy
273,2016年6月5日,3:00 AM,14 °C,4 °C,42%,1014 hPa,10 km,ENE,14.4 km/h /,-,-,,Mostly Cloudy
274,2016年6月5日,6:00 AM,11 °C,5 °C,57%,1016 hPa,20 km,SSW,10.8 km/h /,-,-,,Mostly Cloudy
275,2016年6月5日,9:00 AM,12 °C,6 °C,55%,1016 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
276,2016年6月5日,12:00 PM,18 °C,4 °C,29%,1012 hPa,20 km,ESE,10.8 km/h /,-,-,,Scattered Clouds
277,2016年6月5日,3:00 PM,21 °C,3 °C,21%,1010 hPa,20 km,East,18.0 km/h /,-,-,,Scattered Clouds
278,2016年6月5日,6:00 PM,23 °C,6 °C,22%,1008 hPa,20 km,ENE,14.4 km/h /,-,-,,Partly Cloudy
279,2016年6月5日,9:00 PM,22 °C,5 °C,21%,1008 hPa,20 km,East,14.4 km/h /,-,-,,Partly Cloudy
280,2016年6月6日,12:00 AM,16 °C,2 °C,27%,1015 hPa,20 km,SE,10.8 km/h /,-,-,,Partly Cloudy
281,2016年6月6日,3:00 AM,13 °C,0 °C,28%,1017 hPa,20 km,SSW,14.4 km/h /,-,-,,Scattered Clouds
282,2016年6月6日,6:00 AM,10 °C,1 °C,40%,1019 hPa,20 km,West,7.2 km/h /,-,-,,Scattered Clouds
283,2016年6月6日,9:00 AM,12 °C,2 °C,39%,1018 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
284,2016年6月6日,12:00 PM,20 °C,6 °C,28%,1012 hPa,20 km,NE,3.6 km/h /,-,-,,Scattered Clouds
285,2016年6月6日,3:00 PM,22 °C,8 °C,28%,1009 hPa,20 km,North,7.2 km/h /,-,-,,Partly Cloudy
286,2016年6月6日,6:00 PM,21 °C,8 °C,30%,1009 hPa,10 km,WNW,43.2 km/h /,-,-,,Mostly Cloudy
287,2016年6月6日,9:00 PM,19 °C,9 °C,43%,1013 hPa,10 km,WNW,18.0 km/h /,-,-,,Mostly Cloudy
288,2016年6月7日,12:00 AM,16 °C,9 °C,50%,1014 hPa,20 km,West,14.4 km/h /,-,-,,Mostly Cloudy
289,2016年6月7日,3:00 AM,15 °C,9 °C,62%,1016 hPa,20 km,West,14.4 km/h /,-,-,,Scattered Clouds
290,2016年6月7日,6:00 AM,13 °C,8 °C,66%,1017 hPa,20 km,West,10.8 km/h /,-,-,,Scattered Clouds
291,2016年6月7日,9:00 AM,14 °C,8 °C,63%,1017 hPa,20 km,North,3.6 km/h /,-,-,,Clear
292,2016年6月7日,12:00 PM,20 °C,7 °C,33%,1011 hPa,20 km,WSW,21.6 km/h /,-,-,,Scattered Clouds
293,2016年6月7日,3:00 PM,22 °C,4 °C,20%,1008 hPa,20 km,WNW,21.6 km/h /,-,-,,Partly Cloudy
294,2016年6月7日,6:00 PM,24 °C,8 °C,24%,1005 hPa,20 km,NW,18.0 km/h /,-,-,,Partly Cloudy
295,2016年6月7日,9:00 PM,17 °C,8 °C,45%,1011 hPa,10 km,NE,14.4 km/h /,-,-,Rain,Light Rain Showers
296,2016年6月8日,12:00 AM,14 °C,11 °C,73%,1014 hPa,20 km,SSW,18.0 km/h /,-,-,Rain,Light Rain
297,2016年6月8日,3:00 AM,14 °C,10 °C,77%,1016 hPa,20 km,ENE,14.4 km/h /,-,-,,Partly Cloudy
298,2016年6月8日,6:00 AM,12 °C,9 °C,78%,1016 hPa,20 km,NNE,7.2 km/h /,-,-,,Mostly Cloudy
299,2016年6月8日,9:00 AM,12 °C,8 °C,69%,1017 hPa,20 km,East,7.2 km/h /,-,-,,Mostly Cloudy
300,2016年6月8日,12:00 PM,16 °C,7 °C,45%,1015 hPa,20 km,West,3.6 km/h /,-,-,,Scattered Clouds
301,2016年6月8日,3:00 PM,18 °C,5 °C,31%,1012 hPa,20 km,ESE,10.8 km/h /,-,-,,Mostly Cloudy
302,2016年6月8日,6:00 PM,20 °C,3 °C,20%,1009 hPa,20 km,ENE,18.0 km/h /,-,-,,Scattered Clouds
303,2016年6月8日,9:00 PM,20 °C,2 °C,20%,1009 hPa,20 km,ENE,21.6 km/h /,-,-,,Scattered Clouds
304,2016年6月9日,12:00 AM,14 °C,2 °C,33%,1014 hPa,20 km,SE,14.4 km/h /,-,-,,Scattered Clouds
305,2016年6月9日,3:00 AM,11 °C,-1 °C,30%,1017 hPa,20 km,South,14.4 km/h /,-,-,,Clear
306,2016年6月9日,6:00 AM,8 °C,0 °C,44%,1018 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
307,2016年6月9日,9:00 AM,11 °C,2 °C,46%,1016 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
308,2016年6月9日,12:00 PM,16 °C,6 °C,38%,1011 hPa,20 km,East,7.2 km/h /,-,-,,Partly Cloudy
309,2016年6月9日,3:00 PM,21 °C,3 °C,18%,1006 hPa,20 km,East,7.2 km/h /,-,-,,Scattered Clouds
310,2016年6月9日,6:00 PM,23 °C,3 °C,17%,1003 hPa,20 km,ENE,14.4 km/h /,-,-,,Partly Cloudy
311,2016年6月9日,9:00 PM,21 °C,4 °C,21%,1005 hPa,20 km,East,18.0 km/h /,-,-,,Mostly Cloudy
312,2016年6月10日,12:00 AM,16 °C,7 °C,45%,1012 hPa,10 km,North,18.0 km/h /,-,-,,Mostly Cloudy
313,2016年6月10日,3:00 AM,14 °C,10 °C,70%,1012 hPa,20 km,SW,7.2 km/h /,-,-,,Partly Cloudy
314,2016年6月10日,6:00 AM,11 °C,7 °C,74%,1013 hPa,20 km,ESE,7.2 km/h /,-,-,,Scattered Clouds
315,2016年6月10日,9:00 AM,12 °C,6 °C,59%,1012 hPa,20 km,NW,7.2 km/h /,-,-,,Scattered Clouds
316,2016年6月10日,12:00 PM,18 °C,6 °C,33%,1008 hPa,20 km,NNE,3.6 km/h /,-,-,,Scattered Clouds
317,2016年6月10日,3:00 PM,19 °C,8 °C,38%,1006 hPa,10 km,NNE,36.0 km/h /,-,-,,Mostly Cloudy
318,2016年6月10日,6:00 PM,11 °C,9 °C,90%,1013 hPa,4 km,NNE,14.4 km/h /,-,-,"Rain
	,
Thunderstorm",Thunderstorms and Rain
319,2016年6月10日,9:00 PM,14 °C,7 °C,55%,1010 hPa,10 km,WSW,7.2 km/h /,-,-,,Mostly Cloudy
320,2016年6月11日,12:00 AM,14 °C,11 °C,75%,1010 hPa,20 km,West,21.6 km/h /,-,-,Rain,Light Rain
321,2016年6月11日,3:00 AM,14 °C,9 °C,64%,1009 hPa,20 km,WSW,10.8 km/h /,-,-,,Partly Cloudy
322,2016年6月11日,6:00 AM,13 °C,8 °C,63%,1009 hPa,10 km,West,14.4 km/h /,-,-,,Mostly Cloudy
323,2016年6月11日,9:00 AM,12 °C,10 °C,89%,1010 hPa,20 km,NNE,10.8 km/h /,-,-,Rain,Light Rain
324,2016年6月11日,12:00 PM,11 °C,8 °C,76%,1011 hPa,4 km,North,7.2 km/h /,-,-,Rain,Rain
325,2016年6月11日,3:00 PM,15 °C,8 °C,51%,1008 hPa,10 km,SSW,10.8 km/h /,-,-,,Mostly Cloudy
326,2016年6月11日,6:00 PM,16 °C,8 °C,50%,1007 hPa,10 km,NE,28.8 km/h /,-,-,,Mostly Cloudy
327,2016年6月11日,9:00 PM,16 °C,7 °C,45%,1007 hPa,10 km,SSE,7.2 km/h /,-,-,Thunderstorm,Thunderstorm
328,2016年6月12日,12:00 AM,12 °C,8 °C,72%,1012 hPa,20 km,WSW,3.6 km/h /,-,-,,Partly Cloudy
329,2016年6月12日,3:00 AM,11 °C,8 °C,83%,1012 hPa,20 km,East,3.6 km/h /,-,-,,Partly Cloudy
330,2016年6月12日,6:00 AM,8 °C,7 °C,88%,1013 hPa,20 km,North,3.6 km/h /,-,-,,Partly Cloudy
331,2016年6月12日,9:00 AM,11 °C,8 °C,73%,1011 hPa,20 km,South,3.6 km/h /,-,-,,Scattered Clouds
332,2016年6月12日,12:00 PM,15 °C,5 °C,40%,1008 hPa,20 km,ENE,10.8 km/h /,-,-,,Scattered Clouds
333,2016年6月12日,3:00 PM,19 °C,-0 °C,16%,1004 hPa,20 km,NE,32.4 km/h /,-,-,,Partly Cloudy
334,2016年6月12日,6:00 PM,18 °C,6 °C,32%,1004 hPa,20 km,ENE,25.2 km/h /,-,-,,Mostly Cloudy
335,2016年6月12日,9:00 PM,18 °C,6 °C,34%,1006 hPa,20 km,ENE,25.2 km/h /,-,-,,Partly Cloudy
336,2016年6月13日,12:00 AM,14 °C,6 °C,50%,1011 hPa,20 km,ESE,14.4 km/h /,-,-,,Scattered Clouds
337,2016年6月13日,3:00 AM,12 °C,6 °C,53%,1012 hPa,20 km,SSE,10.8 km/h /,-,-,,Scattered Clouds
338,2016年6月13日,6:00 AM,12 °C,5 °C,55%,1014 hPa,20 km,ESE,10.8 km/h /,-,-,,Scattered Clouds
339,2016年6月13日,9:00 AM,13 °C,6 °C,55%,1015 hPa,20 km,South,7.2 km/h /,-,-,,Scattered Clouds
340,2016年6月13日,12:00 PM,19 °C,4 °C,25%,1011 hPa,20 km,East,14.4 km/h /,-,-,,Mostly Cloudy
341,2016年6月13日,3:00 PM,19 °C,4 °C,25%,1011 hPa,20 km,East,14.4 km/h /,-,-,,Mostly Cloudy
342,2016年6月13日,6:00 PM,22 °C,4 °C,20%,1009 hPa,20 km,East,21.6 km/h /,-,-,,Partly Cloudy
343,2016年6月13日,9:00 PM,22 °C,2 °C,16%,1008 hPa,20 km,East,18.0 km/h /,-,-,,Scattered Clouds
344,2016年6月14日,12:00 AM,17 °C,2 °C,25%,1013 hPa,20 km,SE,14.4 km/h /,-,-,,Scattered Clouds
345,2016年6月14日,3:00 AM,15 °C,3 °C,35%,1015 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
346,2016年6月14日,6:00 AM,13 °C,6 °C,53%,1016 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
347,2016年6月14日,9:00 AM,14 °C,7 °C,53%,1016 hPa,20 km,Calm,Calm,-,-,,Scattered Clouds
348,2016年6月14日,12:00 PM,20 °C,5 °C,25%,1011 hPa,20 km,NNE,7.2 km/h /,-,-,,Scattered Clouds
349,2016年6月14日,3:00 PM,25 °C,5 °C,18%,1007 hPa,20 km,ENE,18.0 km/h /,-,-,,Scattered Clouds
350,2016年6月14日,6:00 PM,26 °C,4 °C,15%,1005 hPa,20 km,ENE,14.4 km/h /,-,-,,Scattered Clouds
351,2016年6月14日,9:00 PM,26 °C,7 °C,20%,1004 hPa,20 km,ENE,14.4 km/h /,-,-,,Scattered Clouds
352,2016年6月15日,12:00 AM,20 °C,5 °C,26%,1007 hPa,20 km,SSE,10.8 km/h /,-,-,,Scattered Clouds
353,2016年6月15日,3:00 AM,17 °C,6 °C,36%,1008 hPa,20 km,West,7.2 km/h /,-,-,,Clear
354,2016年6月15日,6:00 AM,15 °C,6 °C,44%,1010 hPa,20 km,SSW,7.2 km/h /,-,-,,Clear
355,2016年6月15日,9:00 AM,16 °C,7 °C,48%,1009 hPa,20 km,Calm,Calm,-,-,,Mostly Cloudy
356,2016年6月15日,12:00 PM,24 °C,7 °C,22%,1003 hPa,20 km,West,21.6 km/h /,-,-,,Scattered Clouds
357,2016年6月15日,3:00 PM,27 °C,6 °C,18%,1002 hPa,20 km,NW,25.2 km/h /,-,-,,Overcast
358,2016年6月15日,6:00 PM,28 °C,6 °C,16%,997 hPa,20 km,North,18.0 km/h /,-,-,,Overcast
359,2016年6月15日,9:00 PM,22 °C,7 °C,26%,1002 hPa,10 km,NNE,32.4 km/h /,-,-,,Mostly Cloudy
360,2016年6月16日,12:00 AM,16 °C,11 °C,63%,1008 hPa,10 km,SW,14.4 km/h /,-,-,Rain,Light Rain
361,2016年6月16日,3:00 AM,15 °C,9 °C,63%,1008 hPa,20 km,NNW,10.8 km/h /,-,-,,Partly Cloudy
362,2016年6月16日,6:00 AM,13 °C,10 °C,77%,1009 hPa,20 km,SSW,10.8 km/h /,-,-,,Mostly Cloudy
363,2016年6月16日,9:00 AM,15 °C,8 °C,56%,1009 hPa,20 km,WSW,3.6 km/h /,-,-,,Mostly Cloudy
364,2016年6月16日,12:00 PM,19 °C,7 °C,33%,1006 hPa,20 km,NE,7.2 km/h /,-,-,,Scattered Clouds
365,2016年6月16日,3:00 PM,22 °C,6 °C,24%,1002 hPa,20 km,East,10.8 km/h /,-,-,,Partly Cloudy
366,2016年6月16日,6:00 PM,23 °C,8 °C,27%,1000 hPa,20 km,NE,10.8 km/h /,-,-,,Scattered Clouds
367,2016年6月16日,9:00 PM,24 °C,4 °C,17%,999 hPa,20 km,East,10.8 km/h /,-,-,,Scattered Clouds
368,2016年6月17日,12:00 AM,19 °C,6 °C,31%,1003 hPa,20 km,East,10.8 km/h /,-,-,,Scattered Clouds
369,2016年6月17日,3:00 AM,15 °C,3 °C,35%,1007 hPa,20 km,ESE,7.2 km/h /,-,-,,Clear
370,2016年6月17日,6:00 AM,13 °C,4 °C,44%,1008 hPa,20 km,SSW,10.8 km/h /,-,-,,Scattered Clouds
371,2016年6月17日,9:00 AM,16 °C,7 °C,45%,1006 hPa,20 km,Calm,Calm,-,-,,Partly Cloudy
372,2016年6月17日,12:00 PM,21 °C,2 °C,16%,1002 hPa,20 km,ENE,25.2 km/h /,-,-,,Scattered Clouds
373,2016年6月17日,3:00 PM,25 °C,3 °C,14%,997 hPa,20 km,SSE,21.6 km/h /,-,-,,Partly Cloudy
374,2016年6月17日,6:00 PM,21 °C,6 °C,27%,999 hPa,4 km,West,14.4 km/h /,-,-,"Rain
	,
Thunderstorm",Thunderstorms and Rain
375,2016年6月17日,9:00 PM,23 °C,5 °C,21%,996 hPa,20 km,SSE,10.8 km/h /,-,-,,Partly Cloudy
376,2016年6月18日,12:00 AM,20 °C,6 °C,28%,998 hPa,10 km,West,14.4 km/h /,-,-,,Mostly Cloudy
377,2016年6月18日,3:00 AM,15 °C,10 °C,58%,1001 hPa,20 km,West,18.0 km/h /,-,-,Rain,Light Rain
378,2016年6月18日,6:00 AM,14 °C,9 °C,64%,1001 hPa,20 km,West,25.2 km/h /,-,-,,Partly Cloudy
379,2016年6月18日,9:00 AM,14 °C,7 °C,54%,1003 hPa,20 km,West,36.0 km/h /,-,-,Rain,Light Rain
380,2016年6月18日,12:00 PM,17 °C,6 °C,36%,1004 hPa,20 km,West,32.4 km/h /,-,-,,Partly Cloudy
381,2016年6月18日,3:00 PM,19 °C,6 °C,30%,1003 hPa,20 km,West,25.2 km/h /,-,-,,Partly Cloudy
382,2016年6月18日,6:00 PM,18 °C,6 °C,32%,1006 hPa,20 km,East,18.0 km/h /,-,-,,Mostly Cloudy
383,2016年6月18日,9:00 PM,18 °C,5 °C,30%,1006 hPa,20 km,ENE,21.6 km/h /,-,-,,Scattered Clouds
384,2016年6月19日,12:00 AM,14 °C,3 °C,37%,1011 hPa,20 km,East,14.4 km/h /,-,-,,Partly Cloudy
385,2016年6月19日,3:00 AM,14 °C,4 °C,38%,1011 hPa,20 km,East,14.4 km/h /,-,-,,Mostly Cloudy
386,2016年6月19日,6:00 AM,13 °C,5 °C,49%,1011 hPa,20 km,East,10.8 km/h /,-,-,,Mostly Cloudy
387,2016年6月19日,9:00 AM,13 °C,5 °C,50%,1011 hPa,20 km,WNW,7.2 km/h /,-,-,,Scattered Clouds
388,2016年6月19日,12:00 PM,18 °C,5 °C,31%,1006 hPa,20 km,NW,10.8 km/h /,-,-,,Scattered Clouds
389,2016年6月19日,3:00 PM,20 °C,4 °C,22%,1003 hPa,20 km,WSW,21.6 km/h /,-,-,,Mostly Cloudy
390,2016年6月19日,6:00 PM,22 °C,4 °C,19%,1000 hPa,20 km,West,18.0 km/h /,-,-,,Partly Cloudy
391,2016年6月19日,9:00 PM,15 °C,3 °C,34%,1007 hPa,20 km,WSW,14.4 km/h /,-,-,,Partly Cloudy
392,2016年6月20日,12:00 AM,15 °C,4 °C,37%,1006 hPa,20 km,West,21.6 km/h /,-,-,,Mostly Cloudy
393,2016年6月20日,3:00 AM,13 °C,2 °C,33%,1008 hPa,20 km,West,25.2 km/h /,-,-,,Mostly Cloudy
394,2016年6月20日,6:00 AM,11 °C,1 °C,36%,1010 hPa,20 km,WSW,28.8 km/h /,-,-,,Scattered Clouds
395,2016年6月20日,9:00 AM,11 °C,1 °C,36%,1010 hPa,20 km,West,28.8 km/h /,-,-,,Scattered Clouds
396,2016年6月20日,12:00 PM,14 °C,0 °C,26%,1008 hPa,20 km,WNW,25.2 km/h /,-,-,,Partly Cloudy
397,2016年6月20日,3:00 PM,17 °C,1 °C,22%,1005 hPa,20 km,West,28.8 km/h /,-,-,,Mostly Cloudy
398,2016年6月20日,6:00 PM,19 °C,-1 °C,14%,1003 hPa,20 km,WNW,21.6 km/h /,-,-,,Partly Cloudy
399,2016年6月20日,9:00 PM,17 °C,1 °C,22%,1005 hPa,10 km,WNW,28.8 km/h /,-,-,,Mostly Cloudy
400,2016年6月21日,12:00 AM,14 °C,4 °C,38%,1008 hPa,20 km,East,21.6 km/h /,-,-,,Mostly Cloudy
401,2016年6月21日,3:00 AM,12 °C,6 °C,60%,1010 hPa,20 km,SE,10.8 km/h /,-,-,,Partly Cloudy
402,2016年6月21日,6:00 AM,9 °C,4 °C,62%,1011 hPa,20 km,SSE,7.2 km/h /,-,-,,Scattered Clouds
403,2016年6月21日,9:00 AM,12 °C,3 °C,44%,1011 hPa,20 km,WNW,18.0 km/h /,-,-,,Scattered Clouds
404,2016年6月21日,12:00 PM,13 °C,4 °C,40%,1009 hPa,20 km,West,21.6 km/h /,-,-,,Mostly Cloudy
405,2016年6月21日,3:00 PM,10 °C,7 °C,77%,1013 hPa,10 km,ENE,25.2 km/h /,-,-,Rain,Light Rain
406,2016年6月21日,6:00 PM,12 °C,6 °C,57%,1012 hPa,10 km,NE,25.2 km/h /,-,-,,Mostly Cloudy
407,2016年6月21日,9:00 PM,12 °C,4 °C,44%,1012 hPa,10 km,NW,21.6 km/h /,-,-,,Mostly Cloudy
408,2016年6月22日,12:00 AM,11 °C,4 °C,51%,1015 hPa,10 km,WSW,10.8 km/h /,-,-,,Mostly Cloudy
409,2016年6月22日,3:00 AM,8 °C,4 °C,69%,1017 hPa,20 km,West,7.2 km/h /,-,-,,Scattered Clouds
410,2016年6月22日,6:00 AM,5 °C,3 °C,82%,1019 hPa,20 km,SSW,10.8 km/h /,-,-,,Scattered Clouds
411,2016年6月22日,9:00 AM,9 °C,6 °C,69%,1017 hPa,20 km,ENE,3.6 km/h /,-,-,,Scattered Clouds
412,2016年6月22日,12:00 PM,14 °C,3 °C,37%,1015 hPa,20 km,NE,7.2 km/h /,-,-,,Partly Cloudy
413,2016年6月22日,3:00 PM,16 °C,4 °C,34%,1012 hPa,20 km,East,21.6 km/h /,-,-,,Mostly Cloudy
